id_estacion,autoridad_ambiental,estaci_n,latitud,longitud,variable,unidades,tiempo_de_exposici_n_horas,a_o,promedio,suma,no_de_datos,representatividad_temporal,excedencias_limite_actual,porcentaje_excedencias_limite,mediana,percentil_98,m_ximo,fechas_horas_del_m_ximo,m_nimo,fechas_horas_del_m_nimo,d_as_de_excedencias,c_digo_del_departamento,nombre_del_departamento,c_digo_del_municipio,nombre_del_municipio,tipo_de_estaci_n,ubicacion
99999,CORPOCALDAS,LICORERA,5.068541,-75.517201,PM2.5,ugm3,24,2018,13.8,1588.0,115,94.0,0,0.0,14.0,22.0,30.0,2018-04-20,5.0,,0,17,CALDAS,17001.0,MANIZALES,Fija,"{'type': 'Point', 'coordinates': [-75.517201, 5.068541]}"
31639,CORPOCALDAS,ESTACIÓN PALOGRANDE,5.0562,-75.492027,PM10,ugm3,24,2018,18.7,2172.27,116,95.0,0,0.0,18.5,31.7,34.0,2018-03-13,7.0,2018-12-05,0,17,CALDAS,17001.0,MANIZALES,Fija,"{'type': 'Point', 'coordinates': [-75.492027, 5.0562]}"
31637,CORPOCALDAS,ESTACIÓN LA NUBIA,5.02972,-75.4716,PM10,ugm3,24,2018,20.4,2371.9,116,95.0,0,0.0,20.0,30.0,45.0,2018-03-15,9.0,2018-12-05,0,17,CALDAS,17001.0,MANIZALES,Fija,"{'type': 'Point', 'coordinates': [-75.4716, 5.02972]}"
99999,CORPOCALDAS,LICORERA,5.068541,-75.517201,PM10,ugm3,24,2018,22.9,2725.0,119,98.0,0,0.0,22.0,40.6,46.0,2018-12-11,6.0,2018-11-05,0,17,CALDAS,17001.0,MANIZALES,Fija,"{'type': 'Point', 'coordinates': [-75.517201, 5.068541]}"
99999,CORPOCALDAS,MALTERÍA,5.039227,-75.4282,PST,ugm3,24,2018,70.8,512.96,7,6.0,0,0.0,82.2,86.3,86.8,2018-01-16,36.4,2018-01-03,0,17,CALDAS,17001.0,MANIZALES,Fija,"{'type': 'Point', 'coordinates': [-75.4282, 5.039227]}"
8234,CORPOCALDAS,MILÁN,5.046763,-75.480285,PM10,ugm3,24,2018,27.7,3244.91,117,96.0,0,0.0,28.0,44.4,50.0,2018-03-15,11.0,2018-07-08,0,17,CALDAS,17001.0,MANIZALES,Fija,"{'type': 'Point', 'coordinates': [-75.480285, 5.046763]}"
8990,CORPOCALDAS,LICEO ISABEL LA CATÓLICA,5.068207,-75.511017,PM10,ugm3,24,2018,32.3,3588.59,111,91.0,0,0.0,32.0,54.9,57.0,2018-02-27,15.0,,0,17,CALDAS,17001.0,MANIZALES,Fija,"{'type': 'Point', 'coordinates': [-75.511017, 5.068207]}"
99999,CORPOCALDAS,LICORERA,5.068541,-75.517201,PM2.5,ugm3,24,2019,14.0,1709.41,122,100.0,0,0.0,14.2,23.0,28.0,2019-04-13,2.0,2019-08-08,0,17,CALDAS,17001.0,MANIZALES,Fija,"{'type': 'Point', 'coordinates': [-75.517201, 5.068541]}"
31637,CORPOCALDAS,ESTACIÓN LA NUBIA,5.02972,-75.4716,PM10,ugm3,24,2019,19.7,2365.01,120,98.0,0,0.0,19.9,32.2,35.3,2019-02-15,7.0,2019-11-18,0,17,CALDAS,17001.0,MANIZALES,Fija,"{'type': 'Point', 'coordinates': [-75.4716, 5.02972]}"
31639,CORPOCALDAS,ESTACIÓN PALOGRANDE,5.0562,-75.492027,PM10,ugm3,24,2019,20.0,2363.63,118,97.0,0,0.0,20.0,33.1,39.0,2019-04-01,8.0,2019-03-26,0,17,CALDAS,17001.0,MANIZALES,Fija,"{'type': 'Point', 'coordinates': [-75.492027, 5.0562]}"
99999,CORPOCALDAS,LICORERA,5.068541,-75.517201,PM10,ugm3,24,2019,20.9,2555.82,122,100.0,0,0.0,21.0,32.6,37.0,2019-08-23,4.0,2019-08-05,0,17,CALDAS,17001.0,MANIZALES,Fija,"{'type': 'Point', 'coordinates': [-75.517201, 5.068541]}"
31810,CORPOCALDAS,CAMPAÑA CHINCHINÁ,4.990439,-75.609874,PM10,ugm3,24,2019,28.3,510.0,18,N/A,0,0.0,28.0,36.3,37.0,2019-12-27,21.0,,0,17,CALDAS,N/A,CHINCHINA,Indicativa,"{'type': 'Point', 'coordinates': [-75.609874, 4.990439]}"
31802,CORPOCALDAS,ESTACION LA DORADA,5.453923,-74.664749,PM10,ugm3,24,2019,28.6,1028.0,36,30.0,0,0.0,27.5,47.3,48.0,2019-03-07,14.0,2019-04-03,0,17,CALDAS,N/A,LA DORADA,Fija,"{'type': 'Point', 'coordinates': [-74.664749, 5.453923]}"
8990,CORPOCALDAS,LICEO ISABEL LA CATÓLICA,5.068207,-75.511017,PM10,ugm3,24,2019,30.7,3005.68,98,80.0,0,0.0,31.0,46.0,55.0,2019-03-23,11.0,2019-07-21,0,17,CALDAS,17001.0,MANIZALES,Fija,"{'type': 'Point', 'coordinates': [-75.511017, 5.068207]}"
